expiry,T,n,theta,sigma,nu,rmse_price,rmse_iv_bp
2026-08-24,0.01643835616438356,44,0.0,0.10456529833385132,0.0023513437884090933,0.3356971561314859,256.10361523559726
2026-08-27,0.024657534246575342,55,0.0,0.11493736952925668,0.0010000000000000057,0.5353953019772737,312.12132061517536
2026-08-31,0.03561643835616438,78,0.0,0.11485205033189547,0.0010000000000000002,0.6525824171656958,353.9986824722727
2026-09-08,0.057534246575342465,28,0.0,0.11820790277662957,0.001000000000000002,0.9838384368222204,284.8660368607759
2026-09-18,0.08493150684931507,109,0.0,0.13879331526933686,0.055483418445271084,1.3986986519644153,355.89162179778
2026-10-02,0.1232876712328767,34,0.0,0.12956623364540942,0.0010000000000000005,1.5415282488760047,193.4350303247066
2026-10-16,0.16164383561643836,75,0.0,0.14299808991514373,0.0010000000000000002,1.7674371989648703,190.95645268824666
2026-11-20,0.25753424657534246,32,0.0,0.14311495973227842,0.0010000000000000041,2.8386105222527953,310.62261806211086
2027-01-15,0.410958904109589,40,0.0,0.1501836729942449,0.0010000000000000002,4.778702949714068,544.7510787111491
2027-03-19,0.5835616438356165,34,0.0,0.25825298710607736,3.2223479894215257,4.179732752416962,189.85953141953956
2027-07-16,0.9095890410958904,49,0.0,0.1869347764032504,0.0010000000000000005,5.362587130431009,246.23343812487786
2027-12-17,1.3315068493150686,39,0.0,0.18588538834074436,0.0010000000001115757,7.896493978500008,295.8053736996072
